Player,Season,Pos,Team,G,Salary,PPG,APG,RPG,BPG,SPG,TPG
Marreese Speights,2017,C,LAC,82.0,4.2,8.7,0.8,4.5,0.5,0.3,0.8
Jeff Teague,2017,PG,IND,82.0,2.43,15.3,7.8,4.0,0.4,1.2,2.6
Beno Udrih,2017,PG,DET,39.0,7.37,5.8,3.4,1.5,0.0,0.3,0.9
Anderson Varejao,2017,C,GSW,14.0,8.37,1.3,0.7,1.9,0.2,0.2,0.6
David West,2017,C,GSW,68.0,10.0,4.6,2.2,3.0,0.7,0.6,1.1
Russell Westbrook,2017,PG,OKC,81.0,13.67,31.6,10.4,10.7,0.4,1.6,5.4
Deron Williams,2017,PG,TOT,64.0,17.18,11.0,5.6,2.3,0.1,0.5,2.2
Nick Young,2017,SG,LAL,60.0,5.6,13.2,1.0,2.3,0.2,0.6,0.6
Thaddeus Young,2017,PF,IND,74.0,8.29,11.0,1.6,6.1,0.4,1.5,1.3
Omri Casspi,2010,SF,SAC,77.0,2.28,10.3,1.2,4.5,0.2,0.7,1.3
Jamal Crawford,2010,SG,ATL,79.0,5.0,18.0,3.0,2.5,0.2,0.8,1.7
Zaza Pachulia,2010,C,ATL,78.0,5.25,4.3,0.5,3.8,0.4,0.5,0.7
Omri Casspi,2011,SF,SAC,71.0,2.28,8.6,1.0,4.3,0.2,0.8,1.0
Jamal Crawford,2011,SG,ATL,76.0,5.0,14.2,3.2,1.7,0.2,0.8,1.9
Zaza Pachulia,2011,C,ATL,79.0,5.25,4.4,0.7,4.2,0.3,0.4,0.9
Omri Casspi,2012,SF,CLE,65.0,2.28,7.1,1.0,3.5,0.3,0.6,1.0
Jamal Crawford,2012,PG,POR,60.0,5.0,14.0,3.2,2.0,0.2,0.9,1.8
Zaza Pachulia,2012,C,ATL,58.0,5.25,7.8,1.4,7.9,0.5,0.9,1.4
Omri Casspi,2013,SF,CLE,43.0,2.28,4.0,0.7,2.7,0.3,0.6,0.5
Jamal Crawford,2013,SG,LAC,76.0,5.0,16.5,2.5,1.7,0.2,1.0,1.9
Zaza Pachulia,2013,C,ATL,52.0,5.25,5.9,1.5,6.5,0.2,0.7,1.3
Omri Casspi,2014,PF,HOU,71.0,2.28,6.9,1.2,3.7,0.2,0.6,1.0
Jamal Crawford,2014,SG,LAC,69.0,5.0,18.6,3.2,2.3,0.2,0.9,2.0
Zaza Pachulia,2014,C,MIL,53.0,5.25,7.7,2.6,6.3,0.3,0.8,1.7
Omri Casspi,2015,SF,SAC,67.0,2.28,8.9,1.5,3.9,0.1,0.5,1.3
Jamal Crawford,2015,SG,LAC,64.0,5.0,15.8,2.5,1.9,0.2,0.9,1.4
Zaza Pachulia,2015,C,MIL,73.0,5.25,8.3,2.4,6.8,0.3,1.1,1.8
Omri Casspi,2016,SF,SAC,69.0,2.28,11.8,1.4,5.9,0.2,0.8,1.4
Jamal Crawford,2016,SG,LAC,79.0,5.0,14.2,2.3,1.8,0.2,0.7,1.4
Zaza Pachulia,2016,C,DAL,76.0,5.25,8.6,1.7,9.4,0.3,0.8,1.6
Omri Casspi,2017,SF,TOT,36.0,2.28,5.2,1.0,3.1,0.1,0.6,0.8
Jamal Crawford,2017,SG,LAC,82.0,5.0,12.3,2.6,1.6,0.2,0.7,1.6
Zaza Pachulia,2017,C,GSW,70.0,5.25,6.1,1.9,5.9,0.5,0.8,1.3
Arron Afflalo,2010,SG,DEN,82.0,7.56,8.8,1.7,3.1,0.4,0.6,0.9
LaMarcus Aldridge,2010,PF,POR,78.0,12.37,17.9,2.1,8.0,0.6,0.9,1.3
Tony Allen,2010,SG,BOS,54.0,3.15,6.1,1.3,2.7,0.4,1.1,1.2
Ryan Anderson,2010,PF,ORL,63.0,2.24,7.7,0.6,3.2,0.2,0.4,0.9
Carmelo Anthony,2010,SF,DEN,69.0,18.52,28.2,3.2,6.6,0.4,1.3,3.0
Trevor Ariza,2010,SF,HOU,72.0,6.79,14.9,3.8,5.6,0.6,1.8,2.2
Matt Barnes,2010,SF,ORL,81.0,1.91,8.8,1.7,5.5,0.4,0.7,1.4
Nicolas Batum,2010,SF,POR,37.0,2.16,10.1,1.2,3.8,0.7,0.6,0.7
Jerryd Bayless,2010,SG,POR,74.0,3.04,8.5,2.3,1.6,0.1,0.4,1.3
Michael Beasley,2010,PF,MIA,78.0,6.26,14.8,1.3,6.4,0.6,1.0,1.7
Marco Belinelli,2010,SG,TOR,66.0,3.38,7.1,1.3,1.4,0.1,0.6,0.9
Andrew Bogut,2010,C,MIL,69.0,12.0,15.9,1.8,10.2,2.5,0.6,1.9
Corey Brewer,2010,SG,MIN,82.0,3.06,13.0,2.4,3.4,0.4,1.4,2.0
Tyson Chandler,2010,C,CHA,51.0,13.11,6.5,0.3,6.3,1.1,0.3,1.8
Darren Collison,2010,PG,NOH,76.0,1.46,12.4,5.7,2.5,0.1,1.0,2.7
Nick Collison,2010,C,OKC,75.0,3.27,5.9,0.5,5.1,0.6,0.5,0.8
Mike Conley,2010,PG,MEM,80.0,6.61,12.0,5.3,2.4,0.2,1.4,2.1
Stephen Curry,2010,PG,GSW,80.0,3.12,17.5,5.9,4.4,0.2,1.9,3.0
Luol Deng,2010,SF,CHI,70.0,12.32,17.6,2.0,7.3,0.9,0.9,1.9
DeMar DeRozan,2010,SG,TOR,77.0,2.62,8.6,0.7,2.9,0.2,0.6,0.8
Goran Dragic,2010,PG,PHO,80.0,2.11,7.9,3.0,2.1,0.1,0.6,1.6
Kevin Durant,2010,SF,OKC,82.0,15.51,30.1,2.8,7.6,1.0,1.4,3.3
Wayne Ellington,2010,SG,MIN,76.0,1.15,6.6,1.0,2.1,0.1,0.3,1.0
Monta Ellis,2010,SG,GSW,64.0,11.0,25.5,5.3,4.0,0.4,2.2,3.8
Tyreke Evans,2010,SG,SAC,72.0,4.15,20.1,5.8,5.3,0.4,1.5,3.0
Raymond Felton,2010,PG,CHA,80.0,7.56,12.1,5.6,3.6,0.3,1.5,2.1
Marc Gasol,2010,C,MEM,69.0,12.92,14.6,2.4,9.3,1.6,1.0,2.0
Rudy Gay,2010,SF,MEM,80.0,15.03,19.6,1.9,5.9,0.8,1.5,2.1
Manu Ginobili,2010,SG,SAS,75.0,12.98,16.5,4.9,3.8,0.3,1.4,2.1
Eric Gordon,2010,SG,LAC,62.0,3.83,16.9,3.0,2.6,0.2,1.1,2.3
Danny Green,2010,SG,CLE,20.0,0.85,2.0,0.2,0.8,0.2,0.3,0.2
Devin Harris,2010,PG,NJN,64.0,9.32,16.9,6.6,3.2,0.3,1.2,2.8
Spencer Hawes,2010,C,SAC,72.0,4.05,10.0,2.2,6.1,1.2,0.4,1.8
George Hill,2010,PG,SAS,78.0,2.09,12.4,2.9,2.6,0.3,0.9,1.3
Jrue Holiday,2010,PG,PHI,73.0,1.74,8.0,3.8,2.6,0.2,1.1,2.1
Al Horford,2010,C,ATL,81.0,12.0,14.2,2.3,9.9,1.1,0.7,1.5
Dwight Howard,2010,C,ORL,82.0,18.09,18.3,1.8,13.2,2.8,0.9,3.3
Serge Ibaka,2010,PF,OKC,73.0,1.29,6.3,0.1,5.4,1.3,0.3,0.9
Andre Iguodala,2010,SF,PHI,82.0,13.53,17.1,5.8,6.5,0.7,1.7,2.7
Ersan Ilyasova,2010,PF,MIL,81.0,2.54,10.4,1.0,6.4,0.3,0.7,0.9
Jarrett Jack,2010,PG,TOR,82.0,5.0,11.4,5.0,2.7,0.1,0.7,2.0
Richard Jefferson,2010,SF,SAS,81.0,9.28,12.3,2.0,4.4,0.5,0.6,1.3
Amir Johnson,2010,PF,TOR,82.0,5.5,6.2,0.6,4.8,0.8,0.5,0.8
Joe Johnson,2010,SG,ATL,76.0,18.04,21.3,4.9,4.6,0.1,1.1,1.9
DeAndre Jordan,2010,C,LAC,70.0,10.08,4.8,0.3,5.0,0.9,0.2,1.1
Kyle Korver,2010,SG,UTA,52.0,5.0,7.2,1.7,2.1,0.2,0.5,0.8
Kosta Koufos,2010,C,UTA,36.0,2.2,1.5,0.2,1.2,0.1,0.1,0.4
Brook Lopez,2010,C,NJN,82.0,3.08,18.8,2.3,8.6,1.7,0.7,2.5
Kevin Love,2010,PF,MIN,60.0,4.61,14.0,2.3,11.0,0.4,0.7,2.0
Kyle Lowry,2010,PG,HOU,68.0,5.75,9.1,4.5,3.6,0.1,0.9,1.7
Wesley Matthews,2010,SG,UTA,82.0,6.14,9.4,1.5,2.3,0.2,0.8,1.1
JaVale McGee,2010,C,WAS,60.0,2.46,6.4,0.2,4.0,1.7,0.3,0.8
Jodie Meeks,2010,SG,TOT,60.0,0.85,4.7,0.6,1.6,0.1,0.3,0.4
C.J. Miles,2010,SF,UTA,63.0,3.7,9.9,1.7,2.7,0.3,0.9,1.3
Jameer Nelson,2010,PG,ORL,65.0,7.8,12.6,5.4,3.0,0.0,0.7,2.1
Dirk Nowitzki,2010,PF,DAL,81.0,19.09,25.0,2.7,7.7,1.0,0.9,1.8
Tony Parker,2010,PG,SAS,56.0,12.5,16.0,5.7,2.4,0.1,0.5,2.7
Chris Paul,2010,PG,NOH,45.0,16.36,18.7,10.7,4.2,0.2,2.1,2.5
Zach Randolph,2010,PF,MEM,81.0,15.2,20.8,1.8,11.7,0.4,1.0,2.1
J.J. Redick,2010,SG,ORL,82.0,6.75,9.6,1.9,1.9,0.0,0.3,0.8
Thabo Sefolosha,2010,SG,OKC,82.0,3.3,6.0,1.8,4.7,0.6,1.2,1.1
J.R. Smith,2010,SG,DEN,75.0,2.38,15.4,2.4,3.1,0.3,1.3,1.9
Jason Smith,2010,PF,PHI,56.0,2.5,3.4,0.6,2.4,0.5,0.4,0.6
Marreese Speights,2010,C,PHI,62.0,2.72,8.6,0.6,4.1,0.5,0.5,0.8
Jeff Teague,2010,PG,ATL,71.0,1.58,3.2,1.7,0.9,0.2,0.5,0.7
Beno Udrih,2010,PG,SAC,79.0,6.93,12.9,4.7,2.8,0.1,1.1,1.7
Anderson Varejao,2010,PF,CLE,76.0,7.7,8.6,1.1,7.6,0.9,0.9,0.9
David West,2010,PF,NOH,81.0,10.0,19.0,3.0,7.5,0.7,0.9,2.1
Russell Westbrook,2010,PG,OKC,82.0,5.08,16.1,8.0,4.9,0.4,1.3,3.3
Deron Williams,2010,PG,UTA,76.0,16.36,18.7,10.5,4.0,0.2,1.3,3.3
Nick Young,2010,SG,WAS,74.0,3.7,8.6,0.6,1.4,0.1,0.4,0.8
Thaddeus Young,2010,PF,PHI,67.0,7.48,13.8,1.4,5.2,0.2,1.2,1.9
Arron Afflalo,2011,SG,DEN,69.0,7.56,12.6,2.4,3.6,0.4,0.5,1.0
LaMarcus Aldridge,2011,PF,POR,81.0,12.37,21.8,2.1,8.8,1.2,1.0,1.9
Tony Allen,2011,SG,MEM,72.0,3.15,8.9,1.4,2.7,0.6,1.8,1.2
Ryan Anderson,2011,PF,ORL,64.0,2.24,10.6,0.8,5.5,0.6,0.5,0.8
Carmelo Anthony,2011,SF,TOT,77.0,18.52,25.6,2.9,7.3,0.6,0.9,2.7
Trevor Ariza,2011,SF,NOH,75.0,6.79,11.0,2.2,5.4,0.4,1.6,1.6
Matt Barnes,2011,SF,LAL,53.0,1.91,6.7,1.3,4.3,0.4,0.7,1.1
Nicolas Batum,2011,SF,POR,80.0,2.16,12.4,1.5,4.5,0.6,0.8,1.0
Jerryd Bayless,2011,PG,TOT,71.0,3.04,9.2,3.7,2.3,0.1,0.5,1.8
Michael Beasley,2011,SF,MIN,73.0,6.26,19.2,2.2,5.6,0.7,0.7,2.7
Marco Belinelli,2011,SG,NOH,80.0,3.38,10.4,1.2,1.9,0.1,0.5,1.0
Andrew Bogut,2011,C,MIL,65.0,12.0,12.8,2.0,11.1,2.6,0.7,1.9
Corey Brewer,2011,SF-SG,TOT,69.0,3.06,8.0,1.3,2.5,0.2,1.4,1.3
Tyson Chandler,2011,C,DAL,74.0,13.11,10.1,0.4,9.4,1.1,0.5,1.2
Darren Collison,2011,PG,IND,79.0,1.46,13.2,5.1,2.8,0.2,1.1,2.5
Nick Collison,2011,C,OKC,71.0,3.27,4.6,1.0,4.5,0.4,0.6,0.8
Mike Conley,2011,PG,MEM,81.0,6.61,13.7,6.5,3.0,0.2,1.8,2.2
Stephen Curry,2011,PG,GSW,74.0,3.12,18.6,5.8,3.9,0.3,1.5,3.1
Luol Deng,2011,SF,CHI,82.0,12.32,17.4,2.8,5.8,0.6,1.0,1.9
DeMar DeRozan,2011,SG,TOR,82.0,2.62,17.2,1.8,3.8,0.4,1.0,1.8
Goran Dragic,2011,PG,TOT,70.0,2.11,7.5,2.9,2.0,0.1,0.7,1.7
Kevin Durant,2011,SF,OKC,78.0,15.51,27.7,2.7,6.8,1.0,1.1,2.8
Wayne Ellington,2011,SG,MIN,62.0,1.15,6.6,1.2,1.7,0.0,0.5,0.9
Monta Ellis,2011,SG,GSW,80.0,11.0,24.1,5.6,3.5,0.3,2.1,3.2
Tyreke Evans,2011,SG,SAC,57.0,4.15,17.8,5.6,4.8,0.5,1.5,3.2
Raymond Felton,2011,PG-SG,TOT,75.0,7.56,15.5,8.3,3.6,0.1,1.7,2.9
Marc Gasol,2011,C,MEM,81.0,12.92,11.7,2.5,7.0,1.7,0.9,1.8
Rudy Gay,2011,SF,MEM,54.0,15.03,19.8,2.8,6.2,1.1,1.7,2.5
Manu Ginobili,2011,SG,SAS,80.0,12.98,17.4,4.9,3.7,0.4,1.5,2.2
Eric Gordon,2011,SG,LAC,56.0,3.83,22.3,4.4,2.9,0.3,1.3,2.7
Danny Green,2011,SG,SAS,8.0,0.85,5.1,0.2,1.9,0.1,0.2,0.6
Devin Harris,2011,PG,TOT,71.0,9.32,15.2,7.1,2.4,0.1,1.0,2.9
Spencer Hawes,2011,C,PHI,81.0,4.05,7.2,1.5,5.7,0.9,0.4,1.2
George Hill,2011,PG,SAS,76.0,2.09,11.6,2.5,2.6,0.3,0.9,1.3
Jrue Holiday,2011,PG,PHI,82.0,1.74,14.0,6.5,4.0,0.4,1.5,2.7
Al Horford,2011,C,ATL,77.0,12.0,15.3,3.5,9.3,1.0,0.8,1.5
Dwight Howard,2011,C,ORL,78.0,18.09,22.9,1.4,14.1,2.4,1.4,3.6
Serge Ibaka,2011,PF,OKC,82.0,1.29,9.9,0.3,7.6,2.4,0.4,0.9
Andre Iguodala,2011,SF,PHI,67.0,13.53,14.1,6.3,5.8,0.6,1.5,2.1
Ersan Ilyasova,2011,PF,MIL,60.0,2.54,9.5,0.9,6.1,0.4,0.8,1.0
Jarrett Jack,2011,SG-PG,TOT,83.0,5.0,8.9,2.9,2.1,0.1,0.7,1.3
Richard Jefferson,2011,SF,SAS,81.0,9.28,11.0,1.3,3.8,0.4,0.5,1.1
Amir Johnson,2011,PF,TOR,72.0,5.5,9.6,1.1,6.4,1.2,0.7,1.0
Joe Johnson,2011,SG,ATL,72.0,18.04,18.2,4.7,4.0,0.1,0.7,2.0
DeAndre Jordan,2011,C,LAC,80.0,10.08,7.1,0.5,7.2,1.8,0.5,1.3
Kyle Korver,2011,SG,CHI,82.0,5.0,8.3,1.5,1.8,0.2,0.4,0.7
Kosta Koufos,2011,C,TOT,50.0,2.2,3.2,0.1,2.6,0.5,0.2,0.6
Brook Lopez,2011,C,NJN,82.0,3.08,20.4,1.6,6.0,1.5,0.6,2.1
Kevin Love,2011,PF,MIN,73.0,4.61,20.2,2.5,15.2,0.4,0.6,2.1
Kyle Lowry,2011,PG,HOU,75.0,5.75,13.5,6.7,4.1,0.3,1.4,2.1
Wesley Matthews,2011,SG,POR,82.0,6.14,15.9,2.0,3.1,0.1,1.2,1.7
JaVale McGee,2011,C,WAS,79.0,2.46,10.1,0.5,8.0,2.4,0.5,1.3
Jodie Meeks,2011,SG,PHI,74.0,0.85,10.5,1.1,2.3,0.1,0.9,0.8
C.J. Miles,2011,SF,UTA,78.0,3.7,12.8,1.7,3.3,0.5,0.9,1.2
Jameer Nelson,2011,PG,ORL,76.0,7.8,13.1,6.0,3.0,0.0,1.0,2.6
Dirk Nowitzki,2011,PF,DAL,73.0,19.09,23.0,2.6,7.0,0.6,0.5,1.9
Tony Parker,2011,PG,SAS,78.0,12.5,17.5,6.6,3.1,0.0,1.2,2.6
Chris Paul,2011,PG,NOH,80.0,16.36,15.8,9.8,4.1,0.1,2.4,2.2
Zach Randolph,2011,PF,MEM,75.0,15.2,20.1,2.2,12.2,0.3,0.8,2.0
J.J. Redick,2011,SG,ORL,59.0,6.75,10.1,1.7,1.9,0.1,0.5,0.9
Thabo Sefolosha,2011,SG,OKC,79.0,3.3,5.1,1.4,4.4,0.5,1.2,0.7
J.R. Smith,2011,SF,DEN,79.0,2.38,12.3,2.2,4.1,0.2,1.2,1.3
Jason Smith,2011,C,NOH,77.0,2.5,4.3,0.5,3.1,0.4,0.3,0.7
Marreese Speights,2011,C,PHI,64.0,2.72,5.4,0.5,3.3,0.3,0.1,0.6
Jeff Teague,2011,PG,ATL,70.0,1.58,5.2,2.0,1.5,0.4,0.6,0.9
Beno Udrih,2011,PG,SAC,79.0,6.93,13.7,4.9,3.4,0.1,1.2,1.8
Anderson Varejao,2011,C,CLE,31.0,7.7,9.1,1.5,9.7,1.2,0.9,1.3
David West,2011,PF,NOH,70.0,10.0,18.9,2.3,7.6,0.9,1.0,2.0
Russell Westbrook,2011,PG,OKC,82.0,5.08,21.9,8.2,4.6,0.4,1.9,3.9
Deron Williams,2011,PG,TOT,65.0,16.36,20.1,10.3,4.0,0.2,1.2,3.5
Nick Young,2011,SG,WAS,64.0,3.7,17.4,1.2,2.7,0.3,0.7,1.4
Thaddeus Young,2011,PF,PHI,82.0,7.48,12.7,1.0,5.3,0.3,1.1,1.2
Arron Afflalo,2012,SG,DEN,62.0,7.56,15.2,2.4,3.2,0.2,0.6,1.4
LaMarcus Aldridge,2012,PF,POR,55.0,12.37,21.7,2.4,8.0,0.8,0.9,2.0
Tony Allen,2012,SG,MEM,58.0,3.15,9.8,1.4,4.0,0.6,1.8,1.6
Ryan Anderson,2012,PF,ORL,61.0,2.24,16.1,0.9,7.7,0.4,0.8,0.9
Carmelo Anthony,2012,SF,NYK,55.0,18.52,22.6,3.6,6.3,0.4,1.1,2.6
Trevor Ariza,2012,SF,NOH,41.0,6.79,10.8,3.3,5.2,0.6,1.7,1.9
Matt Barnes,2012,SF,LAL,63.0,1.91,7.8,2.0,5.5,0.8,0.6,1.2
Nicolas Batum,2012,SF,POR,59.0,2.16,13.9,1.4,4.6,1.0,1.0,1.5
Jerryd Bayless,2012,PG,TOR,31.0,3.04,11.4,3.8,2.1,0.1,0.8,1.7
Michael Beasley,2012,SF,MIN,47.0,6.26,11.5,1.0,4.4,0.4,0.4,1.7
Marco Belinelli,2012,SG,NOH,66.0,3.38,11.8,1.5,2.6,0.1,0.7,1.0
Andrew Bogut,2012,C,MIL,12.0,12.0,11.3,2.6,8.3,2.0,1.0,2.0
Corey Brewer,2012,SF,DEN,59.0,3.06,8.9,1.5,2.5,0.3,1.2,0.9
Tyson Chandler,2012,C,NYK,62.0,13.11,11.3,0.9,9.9,1.4,0.9,1.6
Darren Collison,2012,PG,IND,60.0,1.46,10.4,4.8,3.1,0.2,0.8,1.9
Nick Collison,2012,PF,OKC,63.0,3.27,4.5,1.3,4.3,0.4,0.5,1.0
Mike Conley,2012,PG,MEM,62.0,6.61,12.7,6.5,2.5,0.2,2.2,2.0
Stephen Curry,2012,PG,GSW,26.0,3.12,14.7,5.3,3.4,0.3,1.5,2.5
Luol Deng,2012,SF,CHI,54.0,12.32,15.3,2.9,6.5,0.7,1.0,1.8
DeMar DeRozan,2012,SG,TOR,63.0,2.62,16.7,2.0,3.3,0.3,0.8,2.0
Goran Dragic,2012,PG,HOU,66.0,2.11,11.7,5.3,2.5,0.2,1.3,2.4
Kevin Durant,2012,SF,OKC,66.0,15.51,28.0,3.5,8.0,1.2,1.3,3.8
Wayne Ellington,2012,SG,MIN,51.0,1.15,6.1,0.6,1.9,0.2,0.5,0.5
Monta Ellis,2012,SG,TOT,58.0,11.0,20.4,6.0,3.4,0.3,1.5,3.1
Tyreke Evans,2012,SG,SAC,63.0,4.15,16.5,4.5,4.6,0.5,1.3,2.7
Raymond Felton,2012,PG,POR,60.0,7.56,11.4,6.5,2.5,0.2,1.3,2.8
Marc Gasol,2012,C,MEM,65.0,12.92,14.6,3.1,8.9,1.9,1.0,1.9
Rudy Gay,2012,SF,MEM,65.0,15.03,19.0,2.3,6.4,0.8,1.5,2.5
Manu Ginobili,2012,SG,SAS,34.0,12.98,12.9,4.4,3.4,0.4,0.7,1.9
Eric Gordon,2012,PG,NOH,9.0,3.83,20.6,3.4,2.8,0.4,1.4,2.7
Danny Green,2012,SG,SAS,66.0,0.85,9.1,1.3,3.5,0.7,0.9,1.0
Devin Harris,2012,PG,UTA,63.0,9.32,11.3,5.0,1.8,0.2,1.0,1.9
Spencer Hawes,2012,C,PHI,37.0,4.05,9.6,2.6,7.3,1.3,0.4,1.5
George Hill,2012,PG,IND,50.0,2.09,9.6,2.9,3.0,0.3,0.8,1.0
Jrue Holiday,2012,PG,PHI,65.0,1.74,13.5,4.5,3.3,0.3,1.6,2.1
Al Horford,2012,C,ATL,11.0,12.0,12.4,2.2,7.0,1.3,0.9,1.5
Dwight Howard,2012,C,ORL,54.0,18.09,20.6,1.9,14.5,2.1,1.5,3.2
Serge Ibaka,2012,PF,OKC,66.0,1.29,9.1,0.4,7.5,3.7,0.5,1.2
Andre Iguodala,2012,SF,PHI,62.0,13.53,12.4,5.5,6.1,0.5,1.7,1.9
Ersan Ilyasova,2012,PF,MIL,60.0,2.54,13.0,1.2,8.8,0.7,0.7,1.3
Jarrett Jack,2012,PG,NOH,45.0,5.0,15.6,6.3,3.9,0.2,0.7,2.4
Richard Jefferson,2012,SF,TOT,63.0,9.28,9.2,1.4,3.5,0.3,0.6,0.8
Amir Johnson,2012,PF,TOR,64.0,5.5,7.1,1.2,6.4,1.1,0.5,1.5
Joe Johnson,2012,SG,ATL,60.0,18.04,18.8,3.9,3.7,0.2,0.8,1.9
DeAndre Jordan,2012,C,LAC,66.0,10.08,7.4,0.3,8.3,2.0,0.5,1.1
Kyle Korver,2012,SG,CHI,65.0,5.0,8.1,1.7,2.4,0.2,0.6,0.8
Kosta Koufos,2012,C,DEN,48.0,2.2,5.5,0.3,5.4,0.9,0.5,0.7
Brook Lopez,2012,C,NJN,5.0,3.08,19.2,1.2,3.6,0.8,0.2,1.2
Kevin Love,2012,PF,MIN,55.0,4.61,26.0,2.0,13.3,0.5,0.9,2.3
Kyle Lowry,2012,PG,HOU,47.0,5.75,14.3,6.6,4.5,0.3,1.6,2.8
Wesley Matthews,2012,SG,POR,66.0,6.14,13.7,1.7,3.4,0.2,1.5,1.1
JaVale McGee,2012,C,TOT,61.0,2.46,11.3,0.5,7.8,2.2,0.6,1.4
Jodie Meeks,2012,SG,PHI,66.0,0.85,8.4,0.8,2.4,0.0,0.6,0.4
C.J. Miles,2012,SG,UTA,56.0,3.7,9.1,1.2,2.1,0.3,0.8,0.9
Jameer Nelson,2012,PG,ORL,57.0,7.8,11.9,5.7,3.2,0.1,0.7,2.4
Dirk Nowitzki,2012,PF,DAL,62.0,19.09,21.6,2.2,6.7,0.5,0.7,1.9
Tony Parker,2012,PG,SAS,60.0,12.5,18.2,7.7,2.8,0.1,1.0,2.6
Chris Paul,2012,PG,LAC,60.0,16.36,19.8,9.0,3.6,0.1,2.5,2.1
Zach Randolph,2012,PF,MEM,28.0,15.2,11.6,1.7,8.0,0.1,0.8,1.4
J.J. Redick,2012,SG,ORL,65.0,6.75,11.6,2.5,2.3,0.1,0.4,1.0
Thabo Sefolosha,2012,SG,OKC,42.0,3.3,4.8,1.1,3.0,0.4,0.9,1.0
J.R. Smith,2012,SG,NYK,35.0,2.38,12.5,2.4,3.9,0.2,1.5,1.3
Jason Smith,2012,PF,NOH,40.0,2.5,9.9,0.8,4.9,1.0,0.5,1.0
Marreese Speights,2012,PF,MEM,60.0,2.72,8.8,0.8,6.2,0.5,0.4,1.2
Jeff Teague,2012,PG,ATL,66.0,1.58,12.6,4.9,2.4,0.6,1.6,2.0
Beno Udrih,2012,SG,MIL,59.0,6.93,5.9,3.8,1.7,0.0,0.6,1.3
Anderson Varejao,2012,C,CLE,25.0,7.7,10.8,1.7,11.5,0.7,1.4,1.8
David West,2012,PF,IND,66.0,10.0,12.8,2.1,6.6,0.7,0.8,1.4
Russell Westbrook,2012,PG,OKC,66.0,5.08,23.6,5.5,4.6,0.3,1.7,3.6
Deron Williams,2012,PG,NJN,55.0,16.36,21.0,8.7,3.3,0.4,1.2,4.0
Nick Young,2012,SG,TOT,62.0,3.7,14.2,0.9,2.1,0.3,0.7,1.3
Thaddeus Young,2012,PF,PHI,63.0,7.48,12.8,1.2,5.2,0.7,1.0,0.9
Arron Afflalo,2013,SF,ORL,64.0,7.56,16.5,3.2,3.7,0.2,0.6,2.2
LaMarcus Aldridge,2013,PF,POR,74.0,12.37,21.1,2.6,9.1,1.2,0.8,1.9
Tony Allen,2013,SG,MEM,79.0,3.15,8.9,1.2,4.6,0.6,1.5,1.2
Ryan Anderson,2013,PF,NOH,81.0,2.24,16.2,1.2,6.4,0.4,0.5,1.2
Carmelo Anthony,2013,PF,NYK,67.0,18.52,28.7,2.6,6.9,0.5,0.8,2.6
Trevor Ariza,2013,SF,WAS,56.0,6.79,9.5,2.0,4.8,0.4,1.3,1.5
Matt Barnes,2013,SF,LAC,80.0,1.91,10.3,1.5,4.6,0.8,1.0,1.1
Nicolas Batum,2013,SF,POR,73.0,2.16,14.3,4.9,5.6,1.1,1.2,2.6
Jerryd Bayless,2013,PG,MEM,80.0,3.04,8.7,3.3,2.2,0.2,0.7,1.5
Michael Beasley,2013,SF,PHO,75.0,6.26,10.1,1.5,3.8,0.5,0.4,1.9
Marco Belinelli,2013,SG,CHI,73.0,3.38,9.6,2.0,1.9,0.1,0.6,1.1
Andrew Bogut,2013,C,GSW,32.0,12.0,5.8,2.1,7.7,1.7,0.6,1.1
Corey Brewer,2013,SF,DEN,82.0,3.06,12.1,1.5,2.9,0.3,1.4,1.2
Tyson Chandler,2013,C,NYK,66.0,13.11,10.4,0.9,10.7,1.1,0.6,1.3
Darren Collison,2013,PG,DAL,81.0,1.46,12.0,5.1,2.7,0.1,1.2,2.1
Nick Collison,2013,C,OKC,81.0,3.27,5.1,1.5,4.1,0.4,0.6,0.9
Mike Conley,2013,PG,MEM,80.0,6.61,14.6,6.1,2.8,0.3,2.2,2.4
Stephen Curry,2013,PG,GSW,78.0,3.12,22.9,6.9,4.0,0.2,1.6,3.1
Luol Deng,2013,SF,CHI,75.0,12.32,16.5,3.0,6.3,0.4,1.1,1.9
DeMar DeRozan,2013,SG,TOR,82.0,2.62,18.1,2.5,3.9,0.3,0.9,1.8
Goran Dragic,2013,PG,PHO,77.0,2.11,14.7,7.4,3.1,0.3,1.6,2.8
Kevin Durant,2013,SF,OKC,81.0,15.51,28.1,4.6,7.9,1.3,1.4,3.5
Wayne Ellington,2013,SG,TOT,78.0,1.15,7.9,1.3,2.1,0.0,0.6,0.7
Monta Ellis,2013,SG,MIL,82.0,11.0,19.2,6.0,3.9,0.4,2.1,3.1
Tyreke Evans,2013,SG,SAC,65.0,4.15,15.2,3.5,4.4,0.4,1.4,2.0
Raymond Felton,2013,PG,NYK,68.0,7.56,13.9,5.5,2.9,0.2,1.4,2.3
Marc Gasol,2013,C,MEM,80.0,12.92,14.1,4.0,7.8,1.7,1.0,2.0
Rudy Gay,2013,SF,TOT,75.0,15.03,18.2,2.7,6.1,0.7,1.5,2.6
Manu Ginobili,2013,SG,SAS,60.0,12.98,11.8,4.6,3.4,0.2,1.3,2.2
